127.0.0.1 - - [16/Dec/2024:16:18:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:18:50 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:18:50 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:19:56 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:01 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:01 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:01 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:02 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:02 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:02 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:06 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:06 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:06 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:07 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:07 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:20:07 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:21:09 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:21:09 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:21:09 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:21:09 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:21:11 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:21:11 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:21:11 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:21:11 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:21:14 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
